type,char,group,def,pinyin
嚴式,奀,"官,閩,粵,平",身體瘦弱，矮小：～細,柳州=ŋɐn˦;福州=nɛiŋ˥;雷州=ŋak˥;廣州=ŋɐn˥˧;東莞=ŋɐn˨˩˧;南寧=ŋən˥˧
嚴式,尫,閩,人偶；玩偶；菩萨,廈門=aŋ˥
嚴式,,官,躲藏；隱藏,牟平=p ̕ɑ˥˩
嚴式,㓠,吳,割斷（綫狀物）,溫州=ti˧˥
嚴式,呔,"閩,粵",1 ①橡膠車輪的內胎；②指說話口音不正,雷州=t ̕ai˨˩;廣州=t̕ai˥;東莞=t ̕ai˨˩˧
嚴式,呔,"閩,粵",2 領帶：打～,雷州=t ̕ai˨˩;廣州=t̕ai˥;東莞=t ̕ai˨˩˧
嚴式,𠯪,官,①吃：～飯；②吸（煙）：～旱煙,牟平=tai˨˩˧
嚴式,𨑨,閩,游玩：～迌,廈門=ʦ̕it˩
嚴式,𠯦,閩,鈸,建甌=ʦ ̕iɛ˦˨
嚴式,咓,閩,呼牛聲,雷州=ŋa˧˩
嚴式,吽,粵,愚笨，頭腦不靈敏,廣州=ŋɐu˨
嚴式,吪,閩,那麼，那樣,雷州=hɔ˥
嚴式,𠰏,客,豬吃食時發出的聲音,梅縣=ʦap˥
嚴式,吺,粵,啲啲～～：形容好講話，說個不停,廣州=tɐu˥
嚴式,𭖆,官,山崖邊馬鞍形的險要處，多用作地名,柳州=è
嚴式,㩿,粵,～㪂：不平坦，不順溜,廣州=k ̕ɐk˥
嚴式,𠇼,閩,他，單數第三人稱代詞,邵武=xu˥
嚴式,,閩,憋住勁,雷州=nɛ˨˩
嚴式,迌,閩,游玩： ～,廈門=t̕o˧˥
嚴式,疕,徽,疤,黟縣=p ̕in˥˨
嚴式,妚,閩,在名詞前面表示指示，相當于“那”或“这”,海口=mo˥
嚴式,刣,"閩,客",宰，殺,廈門=t̕ai˧˥;福州=t ̕ai˥˧;建甌=t̕i˧;雷州=t ̕ai˩;梅縣=t ̕ai˩
嚴式,𢫕,粵,扔（下）,廣州=wieŋ˥
嚴式,坮,閩,掩埋,海口=ʔdai˨˩;雷州=tai˩
嚴式,,閩,“共人”的合音，相當于“把人家……”，“對人家……”,廈門=kaŋ˩
