type,char,group,def,pinyin
寬式,芼,吳,幼小,杭州=mɔ˨˩˧
寬式,䒦,粵,穀粒或花生之類不飽滿,廣州=p ̕an˧
寬式,杄,晉,～樹：雲杉和落葉松的統稱,忻州=ʨ ̕iẽ
寬式,矴,粵,扔，摔：～茶杯,廣州=tɛŋ˧
寬式,夿,官,又圓又大,武漢=p̕a˥
寬式,尪,官,～ ：貧病交加；窮困潦倒,銀川=vaŋ˦
寬式,忒,"客,吳,晉",1 太，表示程度過分,連城=t ̕a˧˥;金華=t ̕əʔ˦;蘇州=t ̕əʔ˥;太原=t ̕iəʔ˨
寬式,忒,晉,2 象聲詞。鳥飛：～兒,太原=t ̕ər˦˥
寬式,𤘅,"吳,粵",嬰兒：孲～,寧波=ŋa˨˩˧;廣州=ŋa˧˩
寬式,旰,"閩,湘",①表示一定时間阶段；②泛指时間；③半天时間,海口=kua˧˥;雷州=kua˨˩;婁底=ka˧˥;新化=ka˦˥;双峰=ka˧˥;邵阳=ka˧˥
寬式,吣,"官,晉,閩",①貓、狗嘔吐；②吃得多了；③親嘴；④吸,萬榮=ʨ ̕iei˥;應縣=ʨ ̕iəŋ˨˦;廈門=ʦip˩;婁底=ʦin˦
寬式,帊,官,（棉麻織品）不結實，易破損,銀川=p ̕a˦
寬式,囥,"贛,官,閩,徽,吳",①藏，收存；②放，擱,黎川=k ̕ɔŋ˥˧;鉛山=k ̕oŋ˨;抚州=k ̕oŋ˥˩;都昌=ɡɔŋ˧;南通=k ̕õ˦˨;廈門=k̕ŋ˩;福州=k ̕ɔuŋ˨˩˨;雷州=k ̕ɔ˨˩;績溪=k ̕õ˧˥;歙縣=k ̕a˧˩，k ̕o˨˩˧;屯溪=k ̕au˧˥;黟縣=k ̕oŋ˧;黄山湯口=k ̕ɔ̃˥˧;浮梁=k ̕aŋ˨˩˧;丹陽=k ̕ɑŋ˨˦;杭州=k ̕ɑŋ˥;金華=k ̕ɑŋ˥;寧波=k ̕ɔ̃˦;上海=k ̕ã˧;蘇州=k ̕ã˥˩˨;溫州=k ̕uɔ˦˨;無錫=k ̕ã˦˨˦，k ̕ã˦˩˨
寬式,佒,吳,曲體：身體勿要～勒牢仔，挺直點,無錫=ã˥˧
寬式,佗,"吳,粵,徽",①背負，扛；②油膩；肥厚；③帶，掛（在身上），拿,上海=du˨˧;溫州=dɤu˧˩;廣州=t ̕ɔ˨˩;績溪=t ̕ɵ˦;歙縣=t ̕o˥˩;寧波=dɐɷ˥˧
寬式,皀,吳,不飽滿,無錫=piəʔ˥
寬式,㑃,吳,扭轉不顺：～戾,上海=ɔ;無錫=ɐ˦˨˦，æ˦˩˨，ɔ˦˨˦
寬式,辵,"湘,客",①～巴子：騙子；②步履蹣跚：～腳,長沙=tʂ̕o˨˦;湘潭=tʂ̕o˨˦;益阳=ʦ ̕o˥;衡阳=ʨ ̕io˨;韶山=ʦ ̕o˨˦;梅縣=ʦ ̕ok˩
寬式,,閩,割，劃破,福州=kua˥
寬式,尦,吳,伸腳鉤人,上海=li ˨˧
寬式,寽,官,滿把抓住順著抹過去,銀川=ly˩˧
寬式,豸,吳,蟲類總稱：蟲～,無錫=ʐɥ˧˩，zɥ˧˩，dʐɥ˧˩
寬式,坌,"官,吳,粵",1 ①撥（灰、土等）；②翻掘土地，鬆土,南通=fɛ̃˨˩˧;寧波=bəŋ˨˦;上海=bən˨˧;蘇州=bən˧˩;溫州=baŋ˧˩
寬式,坌,粵,2 ①全部買下，包圓兒；②（豬用嘴）拱，掘,廣州=p ̕un˧，pɐn˨
寬式,劬,贛,形容很疲乏,萍乡=tʂ ̕ɥ˩
寬式,犺,"閩,吳",物體體積大，粗大笨重,福州=k ̕ouŋ˧;丹陽=k ̕ɑŋ˨˦
寬式,,閩,剜，割,福州=lɛu˧
寬式,卵,"吳,閩,客",①男性生殖器；②令人討厭的東西,寧波=lø˨˩˧;建甌=no˨˩;福州=liŋ;梅縣=lin˧˩;長汀=teŋ˧
寬式,冹,"官,平",①冰涼；②把東西浸泡在冷水裏使之變涼,銀川=pa˩˧;徐州=pa˥;江永=pø˨˩
寬式,㽹,"吳,湘,徽",①嘔吐；②惡心欲吐,杭州=fɛ˥;寧波=fɛ˦;溫州=fa˦˨;蘇州=fᴇ˥˩˨;丹陽=fæ˨˦;上海=fᴇ;無錫=fɛ˦˨˦，fᴇ˦˩˨;新化=fɤ˨˩;瀏陽=fan˧;績溪=fɔ˧˩
寬式,庉,吳,①居住；②在家休息,寧波=dəŋ˨˦
寬式,庎,吳,食櫥；碗櫃,寧波=ka˦;上海=kᴀ˧;溫州=ka˦˨;無錫=kɑ˦˨˦，kɑ˦˩˨
寬式,㽲,吳,病著,溫州=ɕiau˧˥
寬式,疕,閩,傷口或瘡口結痂,福州=p ̕i˧;雷州=p ̕i˧˩
寬式,㽱,"閩,吳",腹中絞痛而不吐不瀉的病癥,福州=kieu˥，kieu˧;上海=kɔ˧;無錫=kɐ˥˧，kæ˥˨，kɔ˦
寬式,疓,湘,小孩或植物因營養不足而未長好,長沙=lai˧
寬式,杗,"官,吳",①～槌：棒槌，捶打的木棒（多用來洗衣服）；②屋子中間最高處的梁木：～梁,武漢=maŋ˨˩˧;無錫=mã˨˦
寬式,𤆏,"湘,吳",①物體溫度高；②使暖，使熱,婁底=o˧˥;無錫=u˦˨˦，əu˦˩˨，u˦˨˦
寬式,汧,晉,擦凈：把桌子～乾凈,太原=ʨ ̕ie˩
寬式,汩,吳,飲（酒）,溫州=ky
寬式,沕,"官,贛,客,湘,徽",①埋（頭）；②躲藏；③潛入水中,貴陽=mi˨˦;柳州=mi˨˦;萍乡=mi˩;宿松=mi˩˧;連城=mi˩;長沙=mei˩;湘潭=mi˨˩;婁底=mi˩;新化=min˦˥;益阳=mi˩;歙縣=mɛ˨˩˧
寬式,沁,官,～猛子：潛水；猛扎在水裏,洛陽=ʦ ̕in˦˩˨
寬式,沑,吳,潮～～：快乾還沒有完全乾,無錫=ȵy˧˩，ȵiʏ˧˩，ȵiɤɯ˧˩
寬式,忮,吳,執拗；固執任性,寧波=ʥi˨˩˧
寬式,忳,粵,心中驚怕,廣州=t ̕ɐn˨˩
寬式,㤆,湘,～想：後悔,婁底=xuã˧˥
寬式,,官,將瓦蓋到房頂上,萬榮=ua˧
寬式,帍,官,不單用。是為了防止污垢用的布單子：～單兒,北京=hu˥˩
寬式,㞎,"官,晉",①拉（屎）；②～～：兒語，屎,銀川=pa;南京=pɑ˩;太原=pa˥˧;吳堡=pɑ˦˩˨;長治=pɑ
寬式,刡,閩,用刀斜著削,福州=mieŋ˥˧
寬式,刜,"閩,平",①（刀）砍；用力打；用利器在物體上劃；②大手大腳,廈門=p̕ut˩;临桂=fe˧˩
寬式,阸,贛,縫隙：門～裏,瀏陽=ŋa˦
寬式,陂,"贛,湘,粵",坡度較大，坡程較長的山坡，舊時水利工程之一，在河牀中以石砌成的抬高水位的淺壩,萍乡=pi˩˧;黎川=pi˨;婁底=ba˩˧;廣州=pei˥
寬式,妠,"官,平,粵",1 ①聚斂；②用手斂到一起；聚起；③嬸子,洛陽=na˧;南寧=lap˧;廣州=lap˧
寬式,妠,平,2 掃視，眼睛很快地向左右看,南寧=lap˧
寬式,妗,吳,1 輕浮不持重，炫耀：～夾夾｜伊有仔點本事就要～葛,無錫=ɕiɪ˦，ɕie˥˧
寬式,妗,官,2 舅媽,洛陽=ʨin˦˩˨;萬榮=ʨ ̕iei˧
寬式,㓟,"官,閩,吳,湘",①篾片，竹子劈成的薄片：竹～子；②削皮，用刀把肉等平削成薄片，用刀將竹木的枝椏削下，或將竹片破開,牟平=p ̕i˥˩;福州=p ̕ie˥;建甌=p ̕iɛ˧;上海=p ̕i˥˧;丹陽=p ̕ ɪ˧;長沙=p ̕i˧;無錫=p ̕i˦，p ̕i˥˧
寬式,抹,官,用刀細切,北京=mo˥˩
寬式,拑,"湘,贛,吳",①扒手：～工；②夾取：拿筷子～菜；③要脅別人一起承擔責任或跟別人享受同樣待遇,婁底=ʥĩ˩˧;瀏陽=kiĩ˥;無錫=ʥiɪ˨˦，ʥiɪ˩˧，ʥie˨˦
寬式,抴,客,移動重物：石礅～唔動（移動不了）,梅縣=iat˥
寬式,抲,"贛,吳,湘,粵",①用手拿；用手抓；②逮；捉；③限制，壓制，制服,萍乡=k ̕a˩˧;南昌=k ̕a˦˨;黎川=k ̕a˨;宿松=k ̕a˨;杭州=k ̕o˥;寧波=k ̕o˦;長沙=k ̕a˧;廣州=k ̕a˥˧;新干=k ̕a˥˧
寬式,坺,"贛,官,吳",1 ①量詞。用於成把或成堆的東西；②土塊,萍乡=p ̕ɔ˩;南通=p ̕ɑʔ˥;杭州=baʔ˨;溫州=bai˨˩˨
寬式,坺,粵,2 跌倒,廣州=p ̕at˨
寬式,拔,客,抽出；吸出；放出,梅縣=p ̕at˥
寬式,坪,徽,山中平地，只用於地名,績溪=p ̕iã˦
寬式,,吳,帶刺的灌木,上海=ku˥˧
寬式,抯,吳,取；拿,溫州=ʦo˧˥
寬式,抻,"官,徽,湘,贛",①伸出，伸展；②拉直、平整,貴陽=ʦ ̕ən˥;銀川=tʂ ̕əŋ˦;萬榮=tʂ ̕ei˧;烏魯木齊=tʂ ̕ɤŋ˦;績溪=ʨ ̕yã˧˩;婁底=ʨ ̕in˦;新化=tʂ ̕ən˧;韶山=ʦ ̕ən˧;瀏陽=t ̕ən˧;新干=tʂ ̕ɵn˥˧
寬式,㓤,"平,粵",①（以尖物）刺，扎；②刺激：～心肝（氣得心疼）,南寧=kət˧;廣州=kɐt˥
寬式,劼,客,盡力或不斷地做：～命（拼命幹）,梅縣=k ̕iat˥
寬式,抶,粵,以帚杵：將掃把～過去,廣州=ʦ ̕ɐt˥
寬式,拃,"官,晉,湘",1 ①張開大拇指和中指來量長度；②量詞。表示張開的大拇指和中指兩端間的距離,牟平=nɑ˨˩˧，ʦɑ˨˩˧;南通=ʦo˨˩;銀川=tʂa˥˧;南京=ʦɑ˧˩;蘭州=tʂa˦;萬榮=ʦa˥;太原=ʦa˥˧;婁底=ʥiɔ˧˩
寬式,拃,官,2 用拳頭蘸水壓麵團使其變軟,牟平=nɑ˨˩˧，ʦɑ˨˩˧
寬式,坼,"贛,官,吳,徽,粵,客",①開裂；②裂開的縫,萍乡=ʦ ̕a˩˧;南通=ʦ ̕ɛʔ˦;柳州=ʦ ̕ə˧˩;金華=ʦ ̕əʔ˦;績溪=ʨ ̕iaʔ˧˨;廣州=ʦ ̕ak˧;梅縣=ʦ ̕ak˩
寬式,㧕,"官,吳",①攪拌，調勻；②玩耍；瞎胡鬧,南通=le˥;寧波=liy˧˥
寬式,拌,贛,～命：拼命,瀏陽=p ̕ø̃ỹ˧
寬式,拕,吳,①伸展；②拖長,溫州=da˨˦
寬式,㧙,官,①用針或細長的東西把物件附著或固定在紙、布等上；②插住；③手放在背後,銀川=pie˩˧;南通=piʔ˦
寬式,抳,"官,吳,粵",①用手或腳將東西撚碎或蹭碎；搓；②擦拭，研磨，洗抹,貴陽=li˥;武漢=ni˥;上海=ȵi˥˧;蘇州=ȵi˩˧;廣州=nɐi˧˩;無錫=ȵi˨˦，ȵi˩˧
寬式,披,吳,挨著正屋搭建的斜頂小屋：搭只～,嘉興=p ̕i˥˩
寬式,弆,"贛,湘",藏（物）,南昌=kie˨˩˧;高安=kiɛ˦˨;望城=kɛ˦˥;長沙=kə˦˩;瀏陽=kie˨˦;新干=kiɛ˧˩
寬式,拗,"閩,吳,客,粵",①手拉使彎折：～斷；②費勁，耗力多；③別扭，执拗，不随和；④因意見不同吵架,福州=au˨˩˨;金華=ɑu˥;溫州=uɔ˧;于都=ɔ˧˥;廣州=au˧˥;嘉興=ɔ˦
寬式,坳,徽,～子：山谷裏,績溪=ŋɤ˧˥
寬式,耵,閩,化膿的耳垢,雷州=tiaŋ˨˦
寬式,若,吳,和樂無爭：自得其～（自尋快樂不顧外界）,嘉興=zɑʔ˩˨
寬式,苫,"官,吳",①用衣、被、布、席等遮蓋；②草簾子,萬榮=ʂæ̃˧;無錫=sø˦˨˦，sø˦˩˨
寬式,苴,粵,（品質）次，差，劣,廣州=ʦa˧˥
寬式,苮,官,～棵：藍葦，蘆葦的一種,南通=ɕĩ˦˨
寬式,苶,"官,晉",①疲倦；精神不振；反應遲鈍；②朽,萬榮=ȵiᴇ˨˦;銀川=nie˦;烏魯木齊=ȵiɤ˦;柳州=lia˧˩;蘭州=lie˥˧;太原=nie˩;梅縣=ŋiap˩
寬式,苾,閩,非常香,雷州=piek˥
寬式,枅,"粵,吳",①突出的木頭；②植物的芽或果,廣州=kɐi˥;無錫=ʨiɪ˦，ʨi˥˧
寬式,枒,粵,①占據空間；②占時間：～咗兩日時間,廣州=ŋa˨
寬式,杪,徽,植物的梢或頂部：樹～｜竹～,績溪=mie˨˩˧;歙縣=miɤ˧˥
寬式,析,客,片，碎片：兩～,梅縣=sak˩
寬式,杷,客,雁～：人字形的耙，一種農具,深州=pɒ˧˩
寬式,刺,吳,即通常刺的意義：恨如～骨,無錫=ʦ ̕iəʔ˥
寬式,矼,"官,晉",①因有硬物觸到人體某部分感到不舒服；②頂撞；③擠壓,銀川=kaŋ˩˧;太原=kɒ̃˦˥
寬式,矺,"閩,客,徽,平,贛",①沉重的東西落在物體上；②輕輕地捶；③木磙子，一種農具；④磙軋：～田；⑤使勁搥、重力往下壓或用重物壓；⑥押宝,雷州=te˥;于都=ʦaʔ˥;梅縣=ʦak˩;浮梁=ʨia˨˩˧;南寧=təp˨;南昌=ʦaʔ˥
寬式,刳,徽,割：△三尺長的韭菜自家～,績溪=k ̕o˧˩
寬式,奅,"閩,粵",臌胀，腫起，漲,福州=p ̕au˨˩˨;廣州=p ̕ɐu˧
寬式,瓪,"閩,吳",①鋪屋頂用的半筒形的瓦；②詈語，陰戶,海口=ʔbua˨˩˧;溫州=pø˧˥
寬式,呵,官,巴結討好：他真會～人,南京=xo˧˩
寬式,咂,晉,吸，嘬,神木=ʦaʔ˦
寬式,畀,粵,①給：～本書我；②被：我～佢打咗一下；③讓，叫；允許；④烹飪時放入（配料等），投入；⑤介詞。相當於“用、以”,廣州=pei˧˥;東莞=pɐi˧˥
寬式,甽,"贛,湘",①水渠；②田間小水溝,新干=tʂun˧;婁底=tun˧˥;韶山=tuən˥;萍乡=tʂɥŋ˩;上猶=tɕyŋ˨
寬式,甿,"官,平",①用於成片的地方代詞，相當於“片”“方”“堵”等；②指示這裏：亞～,柳州=mɑŋ˦;南寧=maŋ˥
寬式,呾,"閩,吳",①說，講；②輕人而哂呵,廈門=tã˨˩;上海=tᴀʔ˥
寬式,呴,"官,吳",①氣喘：～包（哮喘病人）；②味兒使喉嚨難受；③懷怒欲發作,貴陽=xou˥;上海=hɤ˥˧
寬式,呝,粵,喊，叫,廣州=ŋai˧
寬式,咇,平,言語囉嗦,南寧=pət˨
寬式,咄,吳,①喋喋不休地責備、規勸；②下垂；③點頭；④鳥或雞啄食,溫州=tai
寬式,呶,"官,晉,粵",①撅（嘴）；②饒舌聲，聒噪聲,濟南=nu˥;銀川=nɔ˦;太原=nəu˥˧;廣州=iɐu˥
寬式,帗,粵,塊：一～布｜一～樹皮,廣州=fɐt˥
寬式,沝,閩,水,古田=ʨy˦˩;漳平=ʦui˧˩
寬式,牨,閩,公牛：牛～,廈門=kaŋ˥˧
寬式,䄨,吳,～青：稻麥等作物，葉茂而呈青色，該吐穗時還不吐穗,無錫=ɦy˨˦
寬式,䄪,粵,～穗：鬢角的頭髮,廣州=tiu˨˩
寬式,秄,客,紮成捆的稻草：禾稈～,梅縣=kiat˩
寬式,佬,吳,①指鬼或人；②有身份的人,寧波=lɔ˨˩˧;上海=lɔ˦
寬式,,吳,成片的東西：竹～｜木～,無錫=bɛ˨˦，bᴇ˩˧
寬式,㸝,官,～槃：揚穀子的工具,四川=xuɑn˩
寬式,侃,贛,正好，恰好,瀏陽=k ̕an˩
寬式,𪜶,閩,他們、她們、它們，復數第三人稱代詞,廈門=in˥
寬式,侏,吳,草長得很矮，很短：頭髮～,寧波=ʦɥ˥˧
寬式,凭,粵,依靠物，靠山（與“挨”聯用）,廣州=pɐŋ˨
寬式,佮,"官,贛,閩,客,吳,湘,徽,粵,平",①合伙；②匯合，聚集；③共同具有或使用；④相處，合群（跟大家合得來）；⑤合起來，合計，加起來；⑥而且，又……又……：快兼～好（又快又好）,牟平=ka˨˩˧;萍乡=kɔ˩˧;南昌=kot˥;黎川=kop˧;宿松=ko˥;福州=kaʔ˨˦;于都=kuɐ˨;北流=kap˨˩;容縣=kap˨˩;博白=kap˧˩;丹陽=kuæʔ˧;杭州=kaʔ˥;上海=kəʔ˥;蘇州=kəʔ˥;長沙=ko˨˦;婁底=kue˩˧;韶山=ko˨˦;績溪=kɤʔ˧˨;廣州=kap˧;南寧=kap˧;新干=kot˧
寬式,佻,粵,他～：心情愉快，悠然自得,廣州=t ̕iu˧˥
寬式,侚,晉,死跟著，一刻都不離開（某人）,神木=ɕyɤ̃
寬式,佽,閩,嫁妆,福州=ʦ ̕ɛi˨˩˨
寬式,,"吳,客",①使勁拉，拽；②買（布）,寧波=tɐɪ˧˥;溫州=tai˧˥;梅縣=tui˧˩
寬式,彽,吳,回：～來縮去（來回不進）,無錫=dɛ˨˦
寬式,,吳,1 用針把肉裏的刺挑出,上海=t ̕i ˥
寬式,,"官,吳",2 用針把肉裏的刺挑出,柳州=t ̕iɑ˦;無錫=t ̕iɐ˦，t ̕iæ˦，t ̕iɔ˥˧
寬式,肨,吳,米～：炒米，將米先浸泡或蒸至半熟，曬乾後炒熟，可當乾糧,湯溪=p ̕ɑo˧˩
寬式,肣,閩,鳥類的胃,福州=kɛiŋ
寬式,肷,晉,身體肋骨以下胯骨以上的部位,應縣=ʨ ̕iɛ̃
寬式,臽,粵,舂～：舂米的石臼,廣州=hɐm˧˥
寬式,炙,客,廚房,梅縣=ʦak˩
寬式,㽺,"官,吳",①品質差；品質由好變差；②本領、技能差；③體弱乏力；④器物不堅固,南通=xuɛʔ˦;金華=ɕiəʔ˦;寧波=ɕiɪʔ˥
寬式,,閩,痈疽、疖子一類的惡瘡,福州=huoŋ˨˩˨
寬式,忞,粵,心眼兒小不靈活,廣州=mɐn˨˧
寬式,,吳,躲藏,上海=bø˨˧;無錫=bø˨˩˧，bø˧˩，bɤ˨˩˧
寬式,炆,"贛,閩,客,湘,粵",①稍微加熱；②用慢火炖食物或熬菜：～肉｜～潲（豬食）,萍乡=uəŋ˦;黎川=uən˧˥;福州=uŋ˥˧;雷州=maŋ˥;北流=mun˦;容縣=mun˦;博白=mun˦;婁底=ɣun˩˧;韶山=uən˩˧;廣州=mɐn˥˧;瀏陽=uən˥;新干=un˨˦
寬式,炕,贛,烘烤：～笼（烤火具）,瀏陽=k ̕oŋ˩
寬式,,官,①物體內部的組織疏鬆（跟“硬”相對）；②爛；③軟弱；④不過硬，不堅持原則；⑤量詞。把；泡；⑥缺乏力氣,成都=p̕a˥;四川=pā
寬式,沫,湘,淹,婁底=ui˧˥
寬式,沰,"贛,官,閩,吳,徽",①用於黏稠的液體或糊狀物；②相當於“滴”（於用固體物），相當於小團、小塊；③分量很少；④淋，往下落，下坠的樣子；⑤用手指、笔等尖物點；⑥汉字笔畫“點儿”；⑦泡，用於排泄物：一～鼻涕；⑧東西很濕，水往下滴,南昌=toʔ˥;黎川=tɔʔ˧;南通=toʔ˦;南京=toʔ˥;柳州=toʔ˥;福州=touʔ˨˦;丹陽=tɔʔ˧;杭州=toʔ˥;金華=toʔ˦;寧波=tɔʔ˥;上海=toʔ˥;蘇州=toʔ˥;績溪=toʔ˧˩;黄山湯口=tɔ˧˩;歙縣=to˧˨;新干=toʔ˧;望城=tok˥;景德镇=toʔ˥;宿松=to˥;廣州=tok˥;梅縣=tuk˩;無錫=ʦoʔ˥
寬式,㳌,粵,～ ：地方窄而陋,廣州=ɐp˥
寬式,𣲷,粵,潮，濕,廣州=nɐp˨
寬式,泎,閩,濺,建甌=ʦiau˨˩
寬式,泭,官,游泳,萬榮=p ̕u˨˦
寬式,沴,吳,濕的東西沒有散開堆放：幾百斤菜～勒一道要爛脫葛,無錫=tʂəŋ˥˨
寬式,泥,吳,不爽、不乾脆：伊葛脾氣～勿過,無錫=ȵi˨˩˧，ȵi˧˩
寬式,治,官,剖（魚）,武漢=ʦ̕ɿ˨˩˧
寬式,㤕,官,害怕而畏縮：～頭,深州=tʂ ̕u˧˩
寬式,宕,"官,吳",1 ①拖延；②吊著；③處所；④～賬：掛在賬上暫時不能結算,南通=t ̕õ˨˩˧;上海=dã˨˧;蘇州=dã˧˩;溫州=duɔ˨˦
寬式,㦿,"贛,閩",窗户,萍乡=k ̕ã˧˥;黎川=k ̕iam˦;南城=tɕ ̕ian˦˩;高安=k ̕an˦˨;宿松=k ̕an˧˩;瀏陽=k ̕an˨˦;古田=k ̕aŋ
寬式,戾,"吳,平,粵",①扭轉不直；② ，（腳）扭傷,上海=liɪʔ˩˨;南寧=ləi˨˦;廣州=lai˧˥
寬式,戽,徽,～水：舀水,績溪=fu˧˥
寬式,瓭,"平,吳",①瓦：泥～；②用竹子或金屬做的打酒用的量器；③量詞：～子,富川=tiəŋ˨˦;無錫=tø˥˨，təŋ˦
寬式,冞,"閩,粵",①潛入（水中），鑽；②啃（書本）：～書,海口=vi;廣州=mɐi˥˧
寬式,屆,吳,量詞。次：去一～,寧波=ka˦
寬式,𡱅,湘,～壩：將一塊塊的木板嵌入壩口兩側的石槽內以調節壩口的水位,婁底=xa˧˥
寬式,屄,"官,晉,吳,湘,徽",①女陰；②罵人話,貴陽=p ̕i˥;濟南=pi˨˩˧;萬榮=piᴇ˥;南通=pi˨˩;銀川=pi˦;南京=pi˧˩;蘭州=pi˥˧;太原=pi˩;盂縣=pi˦˩˨;長治=pi˨˩˧;應縣=pi;交城=pi˩;丹陽=pi˧;金華=pi˧;寧波=pi˥˧;溫州=pei˧;長沙=pie˨˦;婁底=pi˦;新化=pi˧;績溪=pɿ˧˩
寬式,𨹄,粵,鼓起（嘴唇），噘起（嘴）,廣州=tœ˥˧
寬式,妸,粵,①撅，拱起：～臀；②隆起：個袋～起上來,廣州=ɔ˧˥
寬式,姆,"贛,吳,湘",①媽媽辈；②～媽：媽媽；③全部，全都；④表示远指“那”,南昌=m˦˨̩ ;金華=m˥;上海=m̩˧;蘇州=m˧˩;長沙=m̩˧;新化=n˧;韶山=m˧
寬式,迦,閩,現在,建甌=kia˧
寬式,迨,閩,放置，安放,福州=tai
寬式,貳,吳,雞鴨等換毛時新生出的毛：～毛,嘉興=ȵi˩˧
寬式,𢫨,湘,推：～者他到隻墈腳底,婁底=ɤŋ˧˥;新化=lən˦˥;邵阳=nuŋ˧˥;祁阳=nuŋ˧˥
寬式,挜,吳,①善意強加；②強要,上海=o˥˧
寬式,拺,吳,攙扶,蘇州=ʦ ̕ɑʔ˥
寬式,,"吳,客",①用棍棒打；②（用手掌等）自上而下拍打,寧波=mɐʔ˩˨;梅縣=ma˥˨
寬式,,官,用於成行的集合體，相當於“排”“行”“列”,柳州=la˨˦
寬式,垙,吳,田埂：麥田～,無錫=kuã˦
寬式,挏,"官,吳,徽",1 ①搬，挪 ②弄（髒、亂）；③量詞。套（十隻）；④動詞。外形相似的用具套在一起,銀川=t ̕uəŋ˥˧;烏魯木齊=tuŋ˥˩;上海=døŋ˨˧;蘇州=doŋ˩˧;績溪=t ̕ã˦;無錫=doŋ˨˦，doŋ˩˧
寬式,挏,"閩,吳",2 惹（事）；闖（禍） ①雙手來回揉搓，用力捏揉；②用大手指按壓（紙張等）；③用手搗弄；④將平展的東西揉作一團,銀川=tuəŋ˥˧;福州=nyʔ˥;建甌=ny˨˦;丹陽=ȵiɔʔ˥;杭州=ȵioʔ˨;寧波=ȵyoʔ˩˨;上海=ȵioʔ˩˨;蘇州=ȵioʔ˧
寬式,挢,吳,①用棍、棒等物撥、調、撬東西；②平面產生彎曲呈波狀，不平服,上海=ʥiɔ˨˧
寬式,耇,粵,倚人佬～：男子漢大丈夫,廣州=kɐu˧˥
寬式,㧦,吳,①用力打、摑；②用腳踢；③用拳打,杭州=ɕyõ˥;寧波=ɕy˦;上海=ɕyø˥˧;無錫=ɕiø˦，ɕiɤ˥˧
寬式,挌,"湘,平",打，擊,婁底=kɔ˩˧;南寧=lak˥
寬式,拸,"吳,徽",①加；叠；②把鍋、壺等器皿放在爐火上,丹陽=tə˨˦;上海=du˨˧;長沙=to˩;無錫=dəu˧˩
寬式,㧡,"平,官,客",①挑：～擔；②擔當；③用手撥開東西：把泥～～,南通=ka˨˩;于都=k ̕æ˧˩;梅縣=k̕ai˦
寬式,垟,吳,①寬廣、平坦的田野；②地名用字,溫州=ji˧˩
寬式,𢫧,"官,晉,平",①用手舉：把洋蜡～高些儿；②执意要做；③拿住；④扶、把（自行车的车把）,洛陽=tʂəu˥˧;銀川=tʂəu˥˧;神木=tʂəu˨˩˧;临桂=ʧau˧˩;深州=tʂou˨˩˧
寬式,挓,"官,晉",①（手、頭髮、樹枝等）伸張開：～挲；②比喻不守規矩，行為放肆；③空（手）,貴陽=ʦa˥;濟南=tʂa˨˩˧;烏魯木齊=ʦa˨˩˧;太原=tsa˦˥
寬式,搲,"官,晉,湘,粵,客,贛,徽",1 用工具或手從物體的表面向裏用力，取出其中的一部分,銀川=va˥˧;西寧=ua˦;武漢=ua˦˨;萬榮=ua˥;柳州=ua;太原=va˥˧;應縣=va;交城=uɑ˥˧;南昌=ua˨˩˧;萍乡=ua˧˥;黎川=via˦;南城=ua˦˩;婁底=ua˦˨;廣州=fɐt˥，ua˧˥;梅縣=fat˩;瀏陽=ua˦;新干=uat˧;歙縣=uɑ˨˩˧
寬式,搲,"官,吳,湘",2 ①用瓢、勺等器皿或用手做成勺形舀挖、取東西②用手或指甲抓，掘取，掏取；③用手够東西；④使力氣,南通=uo˨˩;杭州=ua˥˧;寧波=o˥˧;蘇州=o˥;婁底=ɔ˦
寬式,挪,吳,用手揉痛處，以減輕痛的程度,無錫=nəu˨˦，nəu˦
寬式,垠,官,在收過花生、紅薯等作物的地裏翻土尋找剩餘物,柳州=k ̕ɐn˨˦
寬式,拫,官,1 推；擠,南通=k ̕ɛ̃˧˥，ŋɛ̃˧˥
寬式,拫,"平,粵",2 拉緊、繃緊（繩索等）,南寧=həŋ˧˩;廣州=hɐŋ˨˩
寬式,,吳,方位,上海=hᴇ˦
寬式,挅,吳,停留在高處或站在凳子等器物上：鳥～勒樹浪｜伊～勒凳子浪,無錫=təu˥˨，tɤɯ˦
寬式,枼,"吳,客",薄片狀的樣子,上海=ɦɪʔ˩˨;梅縣=ŋiap˥
寬式,茈,官,～菰：荸荠,北京=ts ̕èÄ
寬式,茼,閩,草袋：䅺～,雷州=tɔŋ˩
寬式,茷,吳,一茬,蘇州=vaʔ˧
寬式,𦮕,粵,身體不舒服，有點小毛病,廣州=nɐp˨
寬式,茨,閩,扎（手）,福州=ʦ ̕i˥˧
寬式,枵,"官,閩,平,徽","①織物稀疏不厚密；②扁平物上下兩面之間的距離小；③單薄,不結實；④饑餓；⑤非常，很",濟南=ɕiɔ˨˩˧;牟平=ciɑo˥˩;南通=ɕiɤ˨˩;萬榮=ɕiɑu˥˩;南京=ɕiɔo˧˩;福州=ɛu˥;東安=ɕie˧;績溪=ɕie˧˩
寬式,枹,閩,柚子,福州=p ̕au˥
寬式,柅,贛,提梁,萍乡=ȵi˧˥
寬式,匽,吳,①藏在隱蔽的地方；②躲閃，躲藏,丹陽=ɪ˥;上海=i˥˧，y˥˧;蘇州=iɪ˥˩;嘉興=ie˦;無錫=iɪ˥˨，ie˦
寬式,㪃,官,小擊,徐州=k̕ə˥˩
